11/23/2020 17:10:11.28 	w3wp.exe (0x4940)                       	0x3AAC	SharePoint Foundation         	Logging Correlation Data      	xmnv	Medium  	/Reports/PM%20Manager%20Rate%20of%20Return%20Report.rdl
11/23/2020 17:10:11.57 	w3wp.exe (0x4940)                       	0x3AAC	SharePoint Foundation         	Monitoring                    	b4ly	Medium  	/Reports/PM%20Manager%20Rate%20of%20Return%20Report.rdl
11/23/2020 17:10:11.83 	w3wp.exe (0x4940)                       	0x1858	SharePoint Foundation         	Monitoring                    	nasq	Medium  	/Reports/PM%20Manager%20Rate%20of%20Return%20Report.rdl
11/23/2020 17:10:11.83 	w3wp.exe (0x4940)                       	0x1858	SharePoint Foundation         	Logging Correlation Data      	xmnv	Medium  	/Reports/PM%20Manager%20Rate%20of%20Return%20Report.rdl
11/23/2020 17:10:11.87 	w3wp.exe (0x4940)                       	0x1858	SharePoint Foundation         	Monitoring                    	b4ly	Medium  	/Reports/PM%20Manager%20Rate%20of%20Return%20Report.rdl
11/23/2020 17:10:11.91 	w3wp.exe (0x4940)                       	0x0568	SharePoint Foundation         	Monitoring                    	nasq	Medium  	/Reports/PM%20Manager%20Rate%20of%20Return%20Report.rdl
11/23/2020 17:10:11.91 	w3wp.exe (0x4940)                       	0x0568	SharePoint Foundation         	Logging Correlation Data      	xmnv	Medium  	/Reports/PM%20Manager%20Rate%20of%20Return%20Report.rdl
11/23/2020 17:10:13.59 	w3wp.exe (0x4940)                       	0x0568	SharePoint Foundation         	Monitoring                    	b4ly	Medium  	/Reports/PM%20Manager%20Rate%20of%20Return%20Report.rdl
11/23/2020 17:10:55.32 	w3wp.exe (0x4940)                       	0x3F88	SharePoint Foundation         	Claims Authentication         	amge7	Medium  	/Reports/IR%20AUM%20Analysis%20Report.rdl
11/23/2020 17:10:55.34 	w3wp.exe (0x4940)                       	0x0EEC	SharePoint Foundation         	Monitoring                    	nasq	Medium  	Reports/IR%20AUM%20Analysis%20Report.rdl
11/23/2020 17:10:55.34 	w3wp.exe (0x4940)                       	0x0EEC	SharePoint Foundation         	Logging Correlation Data      	xmnv	Medium  	Reports/IR%20AUM%20Analysis%20Report.rdl
11/23/2020 17:10:55.66 	w3wp.exe (0x4940)                       	0x0EEC	SharePoint Foundation         	Monitoring                    	b4ly	Medium  	/Reports/IR%20AUM%20Analysis%20Report.rdl
11/23/2020 17:11:03.96 	w3wp.exe (0x4940)                       	0x0D04	SharePoint Foundation         	Monitoring                    	nasq	Medium  	/Reports/IR%20AUM%20Analysis%20Report.rdl
11/23/2020 17:11:03.96 	w3wp.exe (0x4940)                       	0x0D04	SharePoint Foundation         	Logging Correlation Data      	xmnv	Medium  	/Reports/IR%20AUM%20Analysis%20Report.rdl
11/23/2020 17:11:04.33 	w3wp.exe (0x4940)                       	0x0D04	SharePoint Foundation         	Monitoring                    	b4ly	Medium  	/Reports/IR%20AUM%20Analysis%20Report.rdl
11/23/2020 17:11:04.59 	w3wp.exe (0x4940)                       	0x2D9C	SharePoint Foundation         	Monitoring                    	nasq	Medium  	/Reports/IR%20AUM%20Analysis%20Report.rdl
11/23/2020 17:11:04.59 	w3wp.exe (0x4940)                       	0x2D9C	SharePoint Foundation         	Logging Correlation Data      	xmnv	Medium  	/Reports/IR%20AUM%20Analysis%20Report.rdl
11/23/2020 17:11:04.62 	w3wp.exe (0x4940)                       	0x2D9C	SharePoint Foundation         	Monitoring                    	b4ly	Medium  	/Reports/IR%20AUM%20Analysis%20Report.rdl
11/23/2020 17:11:04.65 	w3wp.exe (0x4940)                       	0x0E44	SharePoint Foundation         	Monitoring                    	nasq	Medium  	/Reports/IR%20AUM%20Analysis%20Report.rdl
